order_id,customer_lat,customer_lon,distance_to_customer_KM,weight_in_kg,order_price,delivery_fee,cluster_label,delivery_allocation_order
ORDJ05632,12.957,77.5637,16.754,231.2,101.0,11.7116101,0,0
ORDB09146,13.0109,77.5565,20.729,360.0,421.25,5.3916607,0,1
ORDJ05449,12.9635,77.5121,19.657,441.0,691.5,12.4705692,0,2
ORDJ02030,12.9766,77.5993,16.142,757.5,275.0,13.4150393,0,3
ORDK00273,12.9561,77.5921,15.453,269.0,213.25,14.7307603,0,4
ORDJ00665,12.9431,77.5731,24.443,447.0,213.0,13.1175131,0,5
ORDJ09572,12.9706,77.6529,16.621,276.0,322.4,12.1150559,2,6
ORDY07593,12.977,77.5773,16.233,596.0,361.0,13.0137153,0,7
ORDI01296,13.0206,77.6479,20.692,111.5,297.2,17.5176951,2,8
ORDZ07342,13.0206,77.6479,19.724,210.75,375.0,14.7239206,2,9
ORDZ07060,12.9635,77.5121,19.465,104.1,270.1,16.2111529,0,10
ORDA04713,12.9343,77.6044,16.76,465.0,351.25,13.4411495,2,11
ORDK05717,12.9691,77.75,21.494,447.0,675.0,11.7699267,2,12
ORDZ06270,12.9706,77.6529,17.144,466.75,453.0,16.0220521,2,13
ORDC07621,12.9442,77.6076,15.993,417.2,119.0,14.0369652,2,14
ORDY02312,12.1145,77.6036,17.754,261.75,623.0,13.4415246,1,15
ORDY00632,12.977,77.5773,23.114,321.5,240.25,11.7052293,0,16
ORDI01205,12.9159,77.6713,17.7171,414.0,513.5,17.7613143,2,17
ORDB10463,12.977,77.5773,15.261,191.5,76.0,12.0347031,0,18
ORDY00005,13.0012,77.5995,16.5116,672.5,406.75,11.7909105,0,19
ORDC05503,12.977,77.5773,16.2516,411.0,297.2,17.0396741,0,20
ORDB06755,12.9337,77.59,24.606,676.0,371.0,15.936953,0,21
ORDZ06159,12.912,77.6256,17.7171,261.75,639.4,15.1491471,2,22
ORDY01021,12.9105,77.4142,17.77,240.25,412.25,12.3497743,0,23
ORDB01622,13.0071,77.5577,16.6167,639.4,119.0,13.4411574,0,24
ORDX02214,12.9551,77.6593,15.353,311.5,679.25,14.1905105,2,25
ORDX02531,13.0019,77.5713,15.996,512.5,1011.5,17.3129701,0,26
ORDJ02656,12.9635,77.5121,19.212,156.25,715.0,14.5446746,0,27
ORDI01249,13.0417,77.5923,19.291,496.1,90.25,15.5597362,0,28
ORDJ00251,13.0067,77.545,19.647,693.0,309.0,12.1321315,0,29
ORDJ03575,12.9041,77.6121,15.94,100.7,479.75,11.1705202,2,30
ORDC01401,13.0103,77.5796,19.411,211.0,269.0,15.5547517,0,31
ORDB10615,12.977,77.5773,16.6216,307.4,192.0,12.4043361,0,32
ORDJ09011,12.912,77.6256,16.63,105.3,317.0,14.0253922,2,33
ORDB10535,12.9635,77.5121,15.973,150.1,10.1,16.3494271,0,34
ORDY00531,12.977,77.5773,19.216,101.5,501.0,13.2139109,0,35
ORDJ02515,13.0019,77.5713,21.19,414.0,749.0,15.1191991,0,36
ORDB05331,13.0012,77.5995,21.311,215.0,624.0,13.3799262,0,37
ORDY03472,12.9369,77.6407,16.24,693.0,420.0,13.2372401,2,38
ORDB10411,12.1145,77.6036,20.713,639.5,626.2,14.1901634,1,39
ORDJ07066,13.014,77.5651,21.275,711.0,149.5,6.6990416,0,40
ORDJ01751,12.9159,77.6713,19.516,150.0,291.0,14.2127453,2,41
ORDA06644,13.0019,77.5713,20.692,329.0,694.0,11.7617321,0,42
ORDI03616,12.9353,77.5515,15.41515,477.5,360.0,16.6136161,0,43
ORDB01721,12.9579,77.6309,19.411,639.0,506.0,14.6142141,2,44
ORDI05711,12.9113,77.5917,20.772,742.0,615.0,17.6143265,2,45
ORDJ03140,12.9119,77.5741,20.606,361.0,679.25,13.7233439,0,46
ORDB01610,12.957,77.5637,15.327,991.5,1196.5,15.2340021,0,47
ORDC06112,12.9691,77.75,15.407,543.0,117.25,16.7339499,2,48
ORDC01290,12.9757,77.5516,16.205,292.4,536.1,14.6441461,0,49
ORDJ02414,13.0206,77.6479,21.433,251.0,712.6,16.304911,2,50
ORDJ01551,12.957,77.5637,20.114,146.25,234.0,14.7196523,0,51
ORDK01269,12.9217,77.5936,20.734,421.25,124.0,17.9149526,2,52
ORDX03331,13.0103,77.5796,15.913,254.22,676.0,17.4611299,0,53
ORDJ07372,12.9635,77.5121,16.217,421.0,451.0,14.3710557,0,54
ORDJ01294,12.912,77.6256,21.502,461.0,407.6,14.4629341,2,55
ORDJ01412,12.915,77.5533,19.401,721.0,261.75,12.5137136,0,56
ORDI05731,12.9306,77.5434,16.656,740.0,124.0,17.5416742,0,57
ORDY00224,12.1145,77.6036,16.222,170.0,501.75,13.5966197,1,58
ORDZ06031,12.9662,77.6061,15.511,245.5,211.75,14.511942,2,59
ORDK06915,12.1652,77.524,19.352,219.0,190.2,11.1932502,1,60
ORDJ07931,12.9713,77.6401,21.06,297.2,714.0,14.6336551,2,61
ORDA07111,12.9119,77.5741,16.617,297.2,172.0,13.4709014,0,62
ORDK07710,12.9119,77.6446,16.716,747.5,702.5,16.3622513,2,63
ORDK10417,12.9579,77.6309,19.416,710.2,624.0,17.3521766,2,64
ORDZ04175,12.9551,77.6593,17.16,125.5,714.0,15.0119212,2,65
ORDJ01642,12.977,77.5773,24.112,529.0,549.75,17.0507012,0,66
ORDY11099,13.0131,77.5177,16.757,200.0,713.0,13.7126724,0,67
ORDX05715,12.9713,77.6401,24.444,141.0,311.0,11.59103,2,68
ORDI04133,12.9431,77.5731,19.52,351.1,243.0,7.3353416,0,69
ORDZ09109,12.9369,77.6407,20.172,117.5,467.0,11.7665537,2,70
ORDI02240,12.977,77.5773,15.437,629.6,556.0,15.6191015,0,71
ORDB07263,12.9121,77.6131,15.421,401.0,170.5,11.7954176,2,72
ORDI01419,12.9967,77.7512,20.746,712.6,304.5,15.6503217,2,73
ORDC00560,12.915,77.5533,21.429,747.0,307.25,1.5369199,0,74
ORDI05492,12.9925,77.5633,23.129,810.2,444.4,16.6911291,0,75
ORDZ07514,12.9166,77.4904,16.1116,155.0,531.75,14.060196,0,76
ORDC01391,13.0417,77.5923,16.221,394.0,192.1,14.5211792,0,77
ORDJ01690,13.0131,77.5177,22.343,732.6,345.0,15.9343111,0,78
ORDY01407,12.9766,77.5993,15.353,232.5,541.0,10.9692697,0,79
ORDI01509,12.977,77.5773,16.731,177.5,799.0,15.6711613,0,80
ORDX01594,12.957,77.5637,15.302,171.1,779.0,16.3019917,0,81
ORDC04510,13.0103,77.5796,20.761,304.4,315.0,11.2105117,0,82
ORDC00219,12.9155,77.5135,19.4,172.2,302.0,16.1632716,0,83
ORDJ10654,13.0151,77.539,19.311,245.6,537.0,13.3949711,0,84
ORDC01609,12.9343,77.6044,23.125,302.0,677.0,14.1593242,2,85
ORDB02013,12.915,77.5533,20.737,275.0,925.2,14.2133226,0,86
ORDB09746,12.9337,77.59,22.011,160.5,669.5,15.5561675,0,87
ORDI04709,12.915,77.5533,17.175,624.5,443.0,15.4113135,0,88
ORDJ09374,12.915,77.5533,19.351,607.0,431.0,14.0126179,0,89
ORDA10444,12.1145,77.6036,17.116,316.0,302.2,15.4643526,1,90
ORDB10016,13.0417,77.5923,21.119,714.0,246.0,15.1505915,0,91
ORDI01510,13.0219,77.54,15.973,250.5,693.0,13.0930116,0,92
ORDB11021,13.0291,77.6047,22.062,305.75,1191.5,15.7276691,0,93
ORDZ04043,12.977,77.5773,24.672,477.0,215.0,17.114647,0,94
ORDJ09111,13.0219,77.54,16.607,353.0,501.75,6.5404746,0,95
ORDB05131,12.957,77.5637,15.357,651.4,114.0,11.1116717,0,96
ORDY05149,12.977,77.5773,25.0,199.0,434.5,15.3962201,0,97
ORDC03163,13.014,77.5651,16.617,917.4,1060.5,15.3523261,0,98
ORDI01160,13.0262,77.62,16.6316,220.5,746.5,17.3226429,0,99
ORDY07457,12.9766,77.5993,17.625,432.5,574.0,11.9961716,0,100
ORDI04291,13.0206,77.6479,15.914,367.4,157.0,12.6361026,2,101
ORDB05015,13.0641,77.5931,21.405,302.0,210.75,1.0943121,0,102
ORDZ04094,12.915,77.5533,24.402,311.0,497.75,13.7607436,0,103
ORDJ04016,12.1911,77.5764,19.511,459.25,626.0,12.4120611,1,104
ORDX03103,13.0734,77.5464,19.215,310.0,1111.5,17.1710461,0,105
ORDJ01173,12.9159,77.6713,24.954,374.0,759.5,15.746216,2,106
ORDB02736,13.0734,77.5464,22.192,301.75,726.1,17.0951474,0,107
ORDB05473,12.9353,77.5515,16.23,159.5,217.0,12.7112434,0,108
ORDJ09601,13.0206,77.6479,20.929,136.5,757.5,14.567939,2,109
ORDJ06310,12.9166,77.4904,16.1162,665.5,462.0,14.3976606,0,110
ORDJ00792,12.9925,77.5633,17.7172,421.25,215.0,12.1345313,0,111
ORDY01427,12.912,77.6256,20.636,596.0,939.5,14.7600214,2,112
ORDB07129,13.0071,77.5577,23.116,497.25,545.0,12.5730221,0,113
ORDK09639,12.9706,77.6529,22.767,311.0,170.0,22.1127494,2,114
ORDA09040,12.9369,77.6407,17.625,459.0,549.0,11.1553537,2,115
ORDI01271,12.9706,77.6529,16.631,202.0,1053.0,15.2641341,2,116
ORDK00456,12.1911,77.5764,16.535,319.0,316.0,13.3201106,1,117
ORDK00316,12.977,77.5773,21.167,596.0,200.0,11.0726393,0,118
ORDB03990,12.9691,77.75,17.1317,676.0,93.75,12.2473565,2,119
ORDC10935,12.9442,77.6076,15.3153,591.0,634.0,15.5035543,2,120
ORDB01310,12.915,77.5533,19.302,210.75,397.75,14.3315491,0,121
ORDB05251,13.0019,77.5713,17.772,313.0,742.0,13.5551511,0,122
ORDJ01237,13.0131,77.5177,16.24,111.2,217.0,12.151722,0,123
ORDB04032,12.9041,77.6121,19.263,447.6,353.0,14.3692134,2,124
ORDX09979,12.1145,77.6036,19.33,641.75,441.0,15.4161926,1,125
