order_id,customer_lat,customer_lon,distance_to_customer_KM,weight_in_kg,order_price,delivery_fee,cluster_label,delivery_allocation_order
ORDI01477,12.9149,77.5635,6.551,55.5,917.4,12.1545141,0,0
ORDC06134,13.0496,77.4941,11.131,91.2,124.0,15.1052214,0,1
ORDZ02516,12.9261,77.6221,9.955,91.1,960.0,11.2794126,2,2
ORDJ07994,12.9431,77.5731,11.605,65.3,313.0,12.3997175,0,3
ORDA06072,12.9766,77.5993,6.346,93.1,164.5,13.3195959,0,4
ORDA06747,13.0131,77.5177,13.916,53.6,347.5,14.1290119,0,5
ORDK05501,12.9119,77.5741,7.241,96.21,1171.5,13.902127,0,6
ORDJ09761,12.977,77.5773,9.972,97.2,317.0,5.7611734,0,7
ORDC03064,12.9431,77.5731,9.117,85.25,529.0,16.9241999,0,8
ORDZ01513,12.9967,77.7512,9.921,91.5,306.75,17.0199711,2,9
ORDY03274,13.0626,77.5214,11.622,51.4,651.4,12.2422721,0,10
ORDA01560,13.0734,77.5464,6.5,53.5,639.2,12.2114496,0,11
ORDZ10162,12.9925,77.5633,10.635,94.75,465.0,14.7190579,0,12
ORDB03412,12.1911,77.5764,9.901,70.0,105.5,12.3514023,1,13
ORDC04963,12.977,77.5773,9.012,65.6,224.5,14.529133,0,14
ORDZ02012,12.9561,77.5921,6.174,95.6,431.5,12.1400572,0,15
ORDX07191,12.9442,77.6076,14.672,75.06,1012.5,14.7614131,2,16
ORDB10193,12.9299,77.6141,9.011,63.9,664.5,13.3175291,2,17
ORDJ01411,12.9306,77.5434,9.022,90.1,244.75,13.4040613,0,18
ORDA06005,12.9261,77.6221,6.946,62.34,170.0,12.9115095,2,19
ORDC02573,12.1193,77.6399,10.621,54.5,519.0,13.6054191,1,20
ORDJ01219,12.9621,77.5376,11.212,53.1,76.0,15.0667143,0,21
ORDJ01531,12.977,77.5773,9.911,54.1,920.1,13.3690271,0,22
ORDZ02731,12.9119,77.5741,9.023,52.5,1011.5,14.9115156,0,23
ORDK05419,12.977,77.5773,6.056,85.5,301.75,10.3911543,0,24
ORDZ06591,12.9913,77.6409,9.005,74.0,405.5,15.0994466,2,25
ORDZ07192,12.9713,77.6401,6.613,51.2,371.5,15.0407474,2,26
ORDK01042,12.9369,77.6407,5.047,65.1,623.4,11.0427351,2,27
ORDK05129,12.9041,77.6121,6.193,93.4,541.0,11.9194913,2,28
ORDI07206,12.9515,77.4921,9.112,95.6,467.1,14.790114,0,29
ORDI06593,13.0103,77.5796,6.546,82.51,900.1,12.0366951,0,30
ORDA03995,12.9713,77.6401,11.622,61.2,197.4,13.90947,2,31
ORDK04717,13.0417,77.5923,6.391,72.1,119.0,11.5910179,0,32
ORDX03904,12.912,77.6256,13.93,61.4,177.5,12.7026231,2,33
ORDJ00539,12.9561,77.5921,11.19,91.5,696.0,13.111714,0,34
ORDY01374,12.977,77.5773,11.112,63.5,231.5,14.7955737,0,35
ORDX09113,12.9369,77.6407,7.403,75.3,747.0,13.6696459,2,36
ORDA09079,12.977,77.5773,11.012,70.25,140.0,15.7417169,0,37
ORDC02401,13.0019,77.5713,6.617,96.21,423.0,12.3269512,0,38
ORDA01610,12.9261,77.6221,6.264,94.0,1255.5,15.1644505,2,39
ORDA05711,12.9635,77.5121,6.315,63.9,624.5,13.1255653,0,40
ORDC02515,12.977,77.5773,6.971,92.0,411.5,14.1777051,0,41
ORDK01215,12.977,77.5773,7.179,75.6,754.2,15.6752001,0,42
ORDK04075,12.977,77.5773,5.169,60.5,607.0,12.7466732,0,43
ORDA01555,12.9154,77.7011,9.515,52.32,414.0,15.0411199,2,44
ORDI10016,12.9041,77.6121,12.652,72.2,111.2,13.171221,2,45
ORDK03699,13.0417,77.5923,14.753,52.32,357.0,17.6156062,0,46
ORDC06366,12.9925,77.5633,9.947,87.25,401.0,17.1449023,0,47
ORDA01619,12.9261,77.6221,7.026,55.6,342.0,15.6629665,2,48
ORDI07712,12.9306,77.5434,7.351,99.2,117.75,6.1166232,0,49
ORDK02509,13.0626,77.5214,12.771,73.2,1009.0,14.5907125,0,50
ORDK01329,13.0206,77.6479,13.675,72.2,757.0,14.6962923,2,51
ORDX07051,12.9343,77.6044,13.667,92.1,464.0,16.7791461,2,52
ORDX03942,12.9306,77.5434,5.069,61.3,90.0,14.2410539,0,53
ORDJ03931,12.9713,77.6401,11.04,60.5,590.6,13.0051742,2,54
ORDJ10411,12.9369,77.6407,9.06,62.43,541.25,11.6126994,2,55
ORDZ01707,13.0626,77.5214,14.721,94.5,559.0,16.4126552,0,56
ORDI03319,13.0166,77.6104,6.744,71.4,202.0,6.152741,0,57
ORDI04911,12.912,77.6256,11.077,70.4,167.5,16.3952455,2,58
ORDX10021,12.977,77.5773,9.972,71.0,534.5,21.3747156,0,59
ORDY00410,13.014,77.5651,9.011,72.0,370.5,13.1553951,0,60
ORDX01402,13.0019,77.5713,6.5,96.0,249.75,13.1997097,0,61
ORDC00950,12.9766,77.5993,14.672,94.75,115.0,14.4906121,0,62
ORDI00391,12.9713,77.6401,12.637,75.06,311.0,12.9201139,2,63
ORDI03691,12.9473,77.5616,11.614,77.5,410.25,13.6143679,0,64
ORDJ09099,12.9691,77.75,7.455,96.05,1136.5,11.5434001,2,65
ORDK01955,13.0219,77.54,11.137,82.17,315.25,1.1640349,0,66
ORDC10901,12.9037,77.5376,13.901,63.3,310.0,6.2059411,0,67
ORDI01593,12.9306,77.5434,7.111,63.1,609.0,15.1500744,0,68
ORDX06057,12.9691,77.75,6.697,91.01,231.2,12.9271199,2,69
ORDA11102,12.9691,77.75,11.596,54.1,431.0,16.6012111,2,70
ORDI00471,12.9713,77.6401,6.397,83.53,209.6,10.9751661,2,71
ORDC04719,12.1145,77.6036,12.761,75.5,617.0,13.0436097,1,72
ORDX06015,12.9149,77.5635,7.044,96.0,111.6,12.9390001,0,73
ORDX06310,12.9662,77.6061,7.23,62.6,319.0,5.9052122,2,74
ORDZ03159,12.9635,77.5121,9.975,53.7,334.0,11.219612,0,75
ORDZ01210,12.9369,77.6407,11.209,53.1,1111.5,16.7310257,2,76
ORDA04512,12.9217,77.5936,6.657,75.11,501.0,12.1111249,2,77
ORDZ01917,12.915,77.5533,12.659,81.25,535.0,13.4207411,0,78
ORDX03244,12.9713,77.6401,12.656,96.0,196.2,13.1059665,2,79
ORDJ02041,12.9261,77.6221,12.769,61.2,332.6,11.6922532,2,80
ORDJ01316,12.9343,77.6044,11.576,50.1,311.2,13.4539721,2,81
ORDI04014,13.0417,77.5923,12.767,54.5,220.0,13.2111517,0,82
ORDX06045,12.9431,77.5731,7.274,70.25,121.0,13.4192722,0,83
ORDK06904,13.0166,77.6104,9.009,83.5,369.0,14.7753607,0,84
ORDB02052,12.9037,77.5376,11.626,71.6,459.25,12.3242337,0,85
ORDI09455,13.0012,77.5995,9.911,71.5,1217.0,16.0777142,0,86
ORDA01163,12.9431,77.5731,6.117,72.74,261.0,13.342724,0,87
ORDC02604,13.0151,77.539,9.005,67.5,537.0,17.2424266,0,88
ORDI07341,12.9719,77.5121,6.947,54.3,270.0,13.4101273,0,89
ORDB07012,13.0219,77.54,9.051,92.5,199.0,12.959732,0,90
ORDZ06453,12.915,77.5533,5.239,75.04,740.0,15.1224061,0,91
ORDI04112,13.0262,77.62,11.566,100.0,245.6,13.9912225,2,92
ORDX03673,12.9335,77.5691,5.239,65.24,459.0,10.4106951,0,93
ORDX01336,12.977,77.5773,6.139,91.6,236.5,4.960351,0,94
ORDA07124,12.9515,77.4921,14.721,91.25,169.0,15.1710957,0,95
ORDA00111,12.915,77.5533,10.621,75.5,107.0,13.4023074,0,96
ORDY02315,12.9343,77.6044,11.0,69.0,262.0,12.1911141,2,97
ORDX01197,12.915,77.5533,14.71,91.6,160.5,6.4177314,0,98
ORDC01763,12.9766,77.5993,7.443,91.51,214.0,12.5612621,0,99
