order_id,customer_lat,customer_lon,distance_to_customer_KM,weight_in_kg,order_price,delivery_fee,cluster_label,delivery_allocation_order
ORDY09112,12.977,77.5773,1.941,2.5,215.0,14.3962902,2,0
ORDJ10007,12.9154,77.7011,1.536,12.3,591.0,5.7514916,0,1
ORDX04103,12.9757,77.5516,1.151,7.6,910.0,16.1719021,2,2
ORDI03291,12.9913,77.6409,1.494,4.44,1151.0,16.7217336,0,3
ORDI09427,12.9299,77.6141,1.519,9.5,307.0,15.7311004,0,4
ORDJ06131,12.9119,77.6446,1.531,5.11,143.0,13.5912914,0,5
ORDI02711,12.9551,77.6593,1.29,6.45,596.0,14.2305241,0,6
ORDY07760,12.9635,77.5121,1.133,11.5,396.25,6.0391726,2,7
ORDI10037,12.977,77.5773,1.424,4.25,394.0,13.7041622,2,8
ORDZ09721,12.9041,77.6121,1.213,9.3,150.0,14.6601564,0,9
ORDB02611,12.9369,77.6407,1.311,14.2,407.5,12.4592441,0,10
ORDA02556,13.0417,77.5923,1.975,5.75,395.5,16.0317116,2,11
ORDI01314,12.9713,77.6401,1.513,5.7,639.0,13.3277017,0,12
ORDY10311,12.957,77.5637,1.279,6.34,460.5,11.3141452,2,13
ORDK06424,12.1134,77.5416,1.024,10.9,243.5,15.1100396,1,14
ORDI03155,12.9706,77.6529,1.941,5.75,59.5,16.1210201,0,15
ORDK05667,13.0131,77.5177,1.237,5.5,135.5,15.4967053,2,16
ORDZ03117,13.0019,77.5713,1.536,14.5,432.5,14.5431639,2,17
ORDI10111,13.102,77.5164,1.09,13.3,525.0,15.1390514,2,18
ORDJ01236,12.9217,77.5936,1.067,15.7,657.6,14.9642656,0,19
ORDZ00055,12.9925,77.5633,1.997,14.6,693.0,15.2116611,2,20
ORDK03451,12.977,77.5773,1.5,17.1,464.0,11.1732136,2,21
ORDI00121,12.9261,77.6221,1.922,12.4,461.0,16.0552651,0,22
ORDK00097,12.9154,77.7011,1.511,9.95,421.0,14.3153771,0,23
ORDC01142,12.9713,77.6401,1.326,14.1,932.6,16.1501161,0,24
ORDY04402,12.1145,77.6036,1.913,20.0,251.0,12.6090126,1,25
ORDC03195,12.9706,77.6529,1.516,9.3,324.0,13.1597496,0,26
ORDZ00132,12.977,77.5773,1.254,9.46,360.75,15.9912243,2,27
ORDZ10116,12.9343,77.6044,1.936,2.6,252.0,14.5165719,0,28
ORDZ05793,12.957,77.5637,1.92,4.25,429.0,15.3457143,2,29
ORDZ03719,12.977,77.5773,1.462,5.6,410.0,13.1159747,2,30
ORDZ01977,12.9473,77.5616,1.257,9.0,629.6,16.213273,2,31
ORDJ00419,12.9579,77.6309,1.529,17.2,360.75,11.1129541,0,32
ORDY04399,12.991,77.6227,1.032,15.15,142.0,12.3124616,0,33
ORDX00950,12.9306,77.5434,1.069,14.1,226.0,15.7701639,2,34
ORDK02267,12.9713,77.6401,1.237,10.2,1014.2,13.4961541,0,35
ORDA06135,13.0067,77.545,1.047,10.25,416.0,13.1925507,2,36
ORDI07112,12.9121,77.6131,1.37,13.5,259.25,13.5110941,0,37
ORDX07592,12.9041,77.6121,1.363,14.1,369.0,13.7736447,0,38
ORDY00205,13.014,77.5651,1.104,14.3,213.75,10.1452649,2,39
ORDC02741,12.9766,77.5993,1.339,12.5,474.5,14.7597151,2,40
ORDI05959,12.991,77.6227,1.473,13.54,191.5,13.1234711,0,41
ORDY06030,12.9159,77.6713,1.952,2.5,202.0,11.6931211,0,42
ORDA05762,12.919,77.5332,1.54,11.16,231.5,15.003994,2,43
ORDC04011,12.9757,77.5516,1.161,5.5,191.5,15.7195471,2,44
ORDC01575,12.9037,77.5376,1.951,7.0,300.0,15.9110199,2,45
ORDZ10125,12.977,77.5773,1.536,9.41,313.5,6.1674735,2,46
ORDZ07516,13.0503,77.5529,1.212,9.91,142.0,13.6757919,2,47
ORDY06161,12.9551,77.6593,1.411,12.51,1101.0,13.0467439,0,48
ORDI04769,12.9299,77.6141,1.0,13.7,234.0,16.1137047,0,49
ORDZ06294,13.0206,77.6479,1.334,15.2,251.0,15.6510673,0,50
ORDZ06707,12.9337,77.59,1.155,2.1,1101.0,15.0166224,2,51
ORDZ04973,12.9579,77.6309,1.176,9.6,696.0,15.451641,0,52
